练习习题三,正确答案,答题解析
生产力的巨大发展，既促进了新兴资本主义制度的确立和巩固，也使这种制度开始显示出它所固有的深刻的内在矛盾。（   ）,对,
理论与实践的统一，是马克思主义的一个最基本的原则。（   ）,对,
马克思的伟大发现除了剩余价值学说外，另一个是阶级斗争理论。（   ）,对,
马克思主义绝不是离开世界文明大道而凭空创造的故步自封、僵化不变的学说，而是在综合人类思想积极成果和总结当代的实践经验的基础上形成的。（   ）,对,
中国特色社会主义是当代中国发展进步的根本方向，是全国各族人民的共同理想。（   ）,对,
马克思主义，是无产阶级根本利益的科学表现，具有鲜明的阶级性和实践性。（   ）,对,
哲学把无产阶级当做自己的物质武器，同样，无产阶级也把哲学当做自己的精神武器。（   ）,对,
共产主义不是脱离实际的学说，而是用实际手段来追求实际目的的最实际的运动。（   ）,错,
马克思主义是不断发展的科学理论体系。（   ）,错,
“历史活动是群众的活动”，决定历史前进方向的是“行动着的群众”。（   ）,对,
法国、英国、德国工人运动的兴起，标志着现代无产阶级作为独立的政治力量登上了历史舞台。（   ）,对,
学习和掌握马克思主义基本原理，掌握马克思主义的基本立场、观点和方法，是大学生个人成长和长远发展的客观需要。（   ）,对,
马克思主义之所以能够历久不衰，永葆青春和活力，其根本原因就在于它具有彻底的科学性。,对,
马克思主义最崇高的社会理想是与时俱进。（   ）,对,
实践基础上的制度创新是社会发展和变革的先导。（   ）,对,
与时俱进就是马克思主义根据实践的变化，尊重和遵循客观规律，不断超越前人和自己的认识过程。,错,
马克思、恩格斯发展了英国古典经济学理论中的劳动价值论。（   ）,对,
要扣好人生的第一颗扣子，就是要求我们解决好理想信念问题。,对,
马克思主义基本原理，是马克思主义理论体系中最基本、最核心的内容，是对马克思主义的立场、观点和方法的集中概括。,错,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
任何观念都可以从现实世界中找到其本质“原型”。（     ）,对,
人与自然的关系本质上是对立的。（     ）,错,
人能改变客观规律。（     ）,错,
社会生活未来发展的多种可能性是主体选择的客观前提，主体的利益和需要是选择的内在根据。（     ）,对,
人们不能随意创造和消灭规律。（     ）,对,
质变会引起新的量变。（     ）,对,
重视理论创新，必须坚决反对对待马克思主义的教条主义态度。（    ）,对,
世界上只有想不到的事情，没有做不到的事情。（    ）,错,
理论的作用只有掌握群众、最终通过群众的实践才能实现。（    ）,对,
实践是人所特有的对象性活动。（    ）,对,
人们对实现价值的追求，构成了实践的动因，但价值的实现必须以对相关真理的正确把握为前提才能成功。（    ）,对,
实践出真知，一个人要获得任何科学知识，都必须经过自己的实践。（    ）,错,
在对同一个事物的认识中，往往存在“仁者见仁，智者见智”的现象。这表明，认识结果是由认识主体决定的。（    ）,错,
理性认识就是感性认识的不断积累。（    ）,错,
