text,A,B,C,D,ans,答题解析,判分规则
下列选项中属于唯心主义观点的有(            ),宇宙便是吾心，吾心即是宇宙,心外无物，心外无理,未有天地之先，毕竟是先有理,存在就是被感知,ABCD,,全对得分
有哲学家说：“我们今天生活着的世界，与其说是自然世界，还不如说是人造或人为的世界。在我们的周围，几乎每样东西都刻有人的技能的痕迹。”这段话应理解为(            ),人造的或人为的世界是唯一存在的世界,现实世界是人类精神的创造物,人类世界是人的实践活动对象化的结果,科学技术越来越成为人类改造世界的伟大力量,CD,,全对得分
下列判断属于主观唯心主义的有(            ),人为自然界立法,存在就是被感知,物是感觉的复合,宇宙便是吾心,ABCD,,全对得分
思维和存在的关系问题是哲学基本问题，其内容有思维和存在(            ),谁是第一性谁是第二性的问题,谁是本质谁是现象的问题,谁是必然的谁是偶然的问题,有无同一性的问题,AD,,全对得分
马克思主义哲学在内容上实现的革命性变革，它把(            )统一起来,唯物主义和辩证法,自然知识和社会,感性认识和理性知识,唯物辩证的自然观和唯物辩证的历史观,AD,,全对得分
“沉舟侧畔千帆过，病树前头万木春。”辩证法认为发展的实质是新事物的产生和旧事物的灭亡。新生事物必然取代旧事物，从根本上说，是因为 (            ),新生事物产生于旧事物之后，是新出现的事物,新生事物具有新的结构和功能，能适应已经变化了的环境和条件,新生事物是对旧事物的扬弃，并添加了旧事物所不能容纳的新内容,在社会历史领域内，新生事物符合广大人民群众的根本利益和要求,BCD,,全对得分
中国古代的哲学家公孙龙提出了“白马非马”的命题，其错误是割裂了事物的(            ),一般和个别的关系,共性和个性的关系,整体和部分的关系,普遍和特殊的关系,ABD,,全对得分
西周末年思想家史伯说“和实生物，同则不继，以它平它谓之和，故能丰长而物归之”。这里所包含的辩证法思想有(            ),矛盾的同一是包含差别的同一,对立面的同一是事物发展的动力,不包含内部差别的事物就不能存在和发展,矛盾的一方只有克服另一方才能达到统一,ABC,,全对得分
下列选项中，属于哲学基本问题内容的有(            ),物质和意识何者为第一性的问题,物质世界是否运动发展变化的问题,世界的变化发展是否有规律性的问题,世界能否被人的思维认识的问题,AD,,全对得分
发展的实质是新事物的产生和旧事物的灭亡。新生事物必然取代旧事物，从根本上说，是因为(            ),新生事物产生于旧事物之后，是新出现的事物,新生事物具有新的结构和功能，能适应已经变化了的环境和条件,新生事物是对旧事物的扬弃，并添加了旧事物所不能容纳的新内容,在社会历史领域内，新生事物符合广大人民群众的根本利益和要求,BCD,,全对得分
矛盾分析方法有(            ),“物生有两，相反相成”,“一分为二，合二为一”,“和而不同，执两用中”,“和实生物，同则不继”,ABCD,,全对得分
矛盾同一性在事物发展中的作用表现为(            ),矛盾双方在相互依存中得到发展,矛盾双方相互吸取有利于自身发展的因素,调和矛盾双方的对立,规定事物发展的基本趋势,ABD,,全对得分
